DATE,TICKER,INDUSTRY,TOB,LN_MCAP,BM,MOM
200101,AAPL,33,1.6307666931305365,22.735883197356557,0.4956649612230537,-0.8566265060240964
200102,AAPL,33,1.4356943423031925,22.5663138151339,0.5872611436225977,-0.8113413304252999
200103,AAPL,33,1.6583920892528832,22.757730915981217,0.4849532518990087,-0.8656235618959963
200104,AAPL,33,1.8312120864600323,22.901797914100598,0.4231699666959916,-0.8221057934508816
200105,AAPL,33,1.5261025856443715,22.66387752390989,0.5368368876911596,-0.6965476190476191
200106,AAPL,33,1.7194976345840132,22.821102213977607,0.4587335823724074,-0.6190930787589499
200107,AAPL,33,1.449251599407017,22.608121895369617,0.5858408320630827,-0.5424354243542435
200108,AAPL,33,1.4364293526601877,22.59623081445633,0.5928486957620661,-0.6916512820512821
200109,AAPL,33,1.2610443452478999,22.41755951170135,0.7088263107331174,-0.2796116504854369
200110,AAPL,33,1.3729607972097655,22.54225079936968,0.6357859628891473,-0.2071565495207668
200111,AAPL,33,1.5910597575153629,22.73533428387809,0.52415030555556,0.06424242424242421
200112,AAPL,33,1.6309337485467532,22.76693149821754,0.5078475334434767,0.4319327731092437
200201,AAPL,33,1.7785592943482522,22.890299212118396,0.4541737953400807,0.012716763005780285
200202,AAPL,33,1.604771496243058,22.760375273107947,0.51718666986959,0.3545205479452054
200203,AAPL,33,1.7212009065664815,22.84925597879578,0.4732023826276881,-0.016764839148164956
200204,AAPL,33,1.7311051963601534,22.874288575008396,0.4670894547695864,-0.07140054923499395
200205,AAPL,33,1.6822812899106003,22.83805159749033,0.4843257748428113,0.2165413533834586
200206,AAPL,33,1.3743471583652618,22.57312291031857,0.6312402001688779,0.002150537634408645
200207,AAPL,33,1.224153878913078,22.423750373133068,0.742431386759066,-0.05694518360830225
200208,AAPL,33,1.1950688860638805,22.389758430062585,0.7681018957249727,-0.1773584905660378
200209,AAPL,33,1.1809797393929764,22.372867383228925,0.781186132966295,-0.04900064474532562
200210,AAPL,33,1.265839720546205,22.475809410076245,0.7097965808625503,-0.17425968109339407
200211,AAPL,33,1.2333477294379167,22.439695254252033,0.7358987777071729,-0.24553990610328635
200212,AAPL,33,1.1694955239758649,22.364683465445925,0.7932229802427178,-0.2922374429223744
200301,AAPL,33,1.169162297017068,22.367390824185424,0.7951351575608997,-0.4203074433656958
200302,AAPL,33,1.2065384893922475,22.411660906210727,0.7607022560009673,-0.3382488479262673
200303,AAPL,33,1.167938475035891,22.365907609059054,0.7963153891063784,-0.3658639628221377
200304,AAPL,33,1.1664911020279831,22.371549372965728,0.7962601513309828,-0.41738772146683145
200305,AAPL,33,1.3810277393491592,22.60467059955329,0.6306838640447641,-0.3896995708154506
200306,AAPL,33,1.4489681779594403,22.66844523049352,0.5917179574911706,0.012979683972911936
200307,AAPL,33,1.5493265704083217,22.769178055940625,0.5426428026063876,0.2490170380078636
200308,AAPL,33,1.6207339869585469,22.82693007716577,0.5121918491167828,0.4291525423728813
200309,AAPL,33,1.5279589256326658,22.751227677392336,0.5524713959053399,0.5593103448275862
200310,AAPL,33,1.6146542905355832,22.85290952048584,0.5020287411775299,0.28935905413814544
200311,AAPL,33,1.5078850785033016,22.76243689996191,0.5495666133693764,0.4767741935483871
200312,AAPL,33,1.5366724240645635,22.78764736501291,0.5358849684122967,0.4591765526866714
200401,AAPL,33,1.5753993401233681,22.844461994120326,0.5191156360410979,0.4881615598885796
200402,AAPL,33,1.6475314302108737,22.902998496572906,0.4896007002126744,0.5029980013324449
200403,AAPL,33,1.8251325778224068,23.034017413257512,0.4294783121982394,0.6916548797736917
200404,AAPL,33,1.7880449532293987,23.00539132840395,0.458280979919785,0.90154711673699
200405,AAPL,33,1.91670059688196,23.090137405567226,0.42104360877876185,0.43621169916434543
200406,AAPL,33,2.194379759465479,23.25172257103149,0.3582214056057779,0.4721930745015741
200407,AAPL,33,2.0706762425584944,23.252627434082786,0.3835639958233611,0.5436432637571158
200408,AAPL,33,2.186146095805068,23.316992006882572,0.35965380182451434,0.4303405572755419
